序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
498785,="11:17:34.454",0xB5FB52,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498786,="11:17:34.454",0xB5FB64,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498787,="11:17:34.454",0xB5FB7A,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4C 
498788,="11:17:34.454",0xB5FB91,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498789,="11:17:34.454",0xB5FBA0,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 56 
498790,="11:17:34.454",0xB5FBEF,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F6 19 62 52 
498791,="11:17:34.454",0xB5FC0A,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 56 
498792,="11:17:34.454",0xB5FC14,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 52 28 44 
498793,="11:17:34.454",0xB5FC19,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498794,="11:17:34.454",0xB5FC1F,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 54 28 51 28 
498795,="11:17:34.454",0xB5FC25,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 73 7C 20 0C E6 00 FF 
498796,="11:17:34.454",0xB5FC2A,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 07 41 41 41 41 41 41 F8 
498797,="11:17:34.454",0xB5FC30,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498798,="11:17:34.454",0xB5FC36,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0B 00 00 FF FF FF FF F4 
498799,="11:17:34.454",0xB5FC3B,ch1,接收,0x18FF94D5,数据帧,扩展帧,0x08,x| 04 40 06 C0 25 00 00 F4 
498800,="11:17:34.454",0xB5FC42,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4D 
498801,="11:17:34.454",0xB5FC59,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498802,="11:17:34.454",0xB5FC67,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 23 28 59 33 4B 80 
498803,="11:17:34.484",0xB5FCA4,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 B2 00 00 00 00 
498804,="11:17:34.484",0xB5FCB7,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F6 19 62 52 
498805,="11:17:34.484",0xB5FCD2,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 57 
498806,="11:17:34.484",0xB5FCE1,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498807,="11:17:34.484",0xB5FCF4,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498808,="11:17:34.484",0xB5FD0A,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4E 
498809,="11:17:34.484",0xB5FD21,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498810,="11:17:34.484",0xB5FD2F,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 48 0C 48 0C AA 00 00 00 
498811,="11:17:34.484",0xB5FD7F,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 66 26 F8 19 62 52 
498812,="11:17:34.484",0xB5FD99,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 58 
498813,="11:17:34.514",0xB5FDA9,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498814,="11:17:34.514",0xB5FDBC,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498815,="11:17:34.514",0xB5FDD1,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4F 
498816,="11:17:34.514",0xB5FDE8,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498817,="11:17:34.514",0xB5FDF7,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
498818,="11:17:34.514",0xB5FE13,ch1,接收,0x1807E5F4,数据帧,扩展帧,0x08,x| 0D B0 00 C8 01 FF FF FF 
498819,="11:17:34.514",0xB5FE18,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 30 33 7E 26 E6 00 00 42 
498820,="11:17:34.514",0xB5FE1E,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 5B 0D 15 11 15 0B 15 A4 
498821,="11:17:34.514",0xB5FE23,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 55 00 00 00 00 00 00 AA 
498822,="11:17:34.514",0xB5FE29,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0C 00 00 FF FF FF FF F3 
498823,="11:17:34.514",0xB5FE47,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F8 19 62 52 
498824,="11:17:34.514",0xB5FE61,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 59 
498825,="11:17:34.514",0xB5FE71,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498826,="11:17:34.514",0xB5FE83,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498827,="11:17:34.514",0xB5FE99,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 50 
498828,="11:17:34.514",0xB5FEB0,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498829,="11:17:34.514",0xB5FEBF,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
498830,="11:17:34.544",0xB5FF0E,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F4 19 62 52 
498831,="11:17:34.544",0xB5FF29,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5A 
498832,="11:17:34.544",0xB5FF38,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498833,="11:17:34.544",0xB5FF4B,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498834,="11:17:34.544",0xB5FF61,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 51 
498835,="11:17:34.544",0xB5FF78,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498836,="11:17:34.544",0xB5FF87,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 5B 
498837,="11:17:34.544",0xB5FFD6,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F4 19 62 52 
498838,="11:17:34.544",0xB5FFF1,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5B 
498839,="11:17:34.574",0xB60000,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498840,="11:17:34.574",0xB60006,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 54 28 52 28 
498841,="11:17:34.574",0xB6000B,ch1,接收,0x180028F3,数据帧,扩展帧,0x08,x| 4E 54 28 5B 54 28 FF FF 
498842,="11:17:34.574",0xB60010,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 0D 42 42 41 41 42 42 F2 
498843,="11:17:34.574",0xB60016,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498844,="11:17:34.574",0xB6001C,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 6F 7C 21 0C E6 00 FF 
498845,="11:17:34.574",0xB60022,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0D 00 00 FF FF FF FF F2 
498846,="11:17:34.574",0xB60027,ch1,接收,0x18FF94D6,数据帧,扩展帧,0x08,x| 04 40 06 00 26 00 00 F2 
498847,="11:17:34.574",0xB6002D,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 52 
498848,="11:17:34.574",0xB60032,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 53 28 44 
498849,="11:17:34.574",0xB60040,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498850,="11:17:34.574",0xB6004E,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 25 28 5E 33 4B 80 
498851,="11:17:34.574",0xB6008A,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 B2 00 00 00 00 
498852,="11:17:34.574",0xB6009E,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F4 19 62 52 
498853,="11:17:34.574",0xB600B8,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5C 
498854,="11:17:34.574",0xB600C8,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498855,="11:17:34.574",0xB600DB,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498856,="11:17:34.574",0xB600F1,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 53 
498857,="11:17:34.574",0xB60107,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498858,="11:17:34.574",0xB60116,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 48 0C 48 0C AA 00 00 00 
498859,="11:17:34.604",0xB60166,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F4 19 62 52 
498860,="11:17:34.604",0xB60180,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5D 
498861,="11:17:34.604",0xB60190,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498862,="11:17:34.604",0xB601A3,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498863,="11:17:34.604",0xB601B8,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 54 
498864,="11:17:34.604",0xB601CF,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498865,="11:17:34.604",0xB601DE,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
498866,="11:17:34.604",0xB601F5,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 31 33 83 26 E6 00 00 42 
498867,="11:17:34.604",0xB601FA,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 5E 0E 15 0C 15 10 15 A1 
498868,="11:17:34.604",0xB60200,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 5B 00 00 00 00 00 00 A4 
498869,="11:17:34.604",0xB60206,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0E 00 00 FF FF FF FF F1 
498870,="11:17:34.604",0xB6020B,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 73 7C 21 0C E6 00 FF 
498871,="11:17:34.604",0xB60211,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 02 44 09 02 00 00 00 FD 
498872,="11:17:34.604",0xB60216,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 03 03 02 2B 13 CA 14 FC 
498873,="11:17:34.604",0xB6021C,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 01 12 15 1F 08 0D 29 FE 
498874,="11:17:34.604",0xB60224,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 04 00 00 FF FF 60 25 FB 
498875,="11:17:34.604",0xB60229,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 05 23 07 06 05 40 01 FA 
498876,="11:17:34.604",0xB6022F,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 7A 26 F4 19 62 51 
498877,="11:17:34.604",0xB60234,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 07 1D 01 00 00 F4 01 F8 
498878,="11:17:34.604",0xB6023A,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 08 01 01 B0 0A 10 0E F7 
498879,="11:17:34.604",0xB60240,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 09 FA 00 00 00 00 00 F6 
498880,="11:17:34.604",0xB60245,ch1,接收,0x18FF90D2,数据帧,扩展帧,0x08,x| F0 F7 FF FF FF FF FF D2 
498881,="11:17:34.604",0xB6024B,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5E 
498882,="11:17:34.604",0xB60251,ch1,接收,0x18FF90D2,数据帧,扩展帧,0x08,x| A5 FF FF FF CF FF FF D2 
498883,="11:17:34.634",0xB60256,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 06 0B 23 28 1E 3C 41 F9 
498884,="11:17:34.634",0xB6025C,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498885,="11:17:34.634",0xB6026A,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498886,="11:17:34.634",0xB60280,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 55 
498887,="11:17:34.634",0xB60297,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498888,="11:17:34.634",0xB602A6,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
498889,="11:17:34.634",0xB602F5,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 7A 26 F4 19 62 51 
498890,="11:17:34.634",0xB60310,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5F 
498891,="11:17:34.634",0xB6031F,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498892,="11:17:34.634",0xB60332,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498893,="11:17:34.634",0xB60348,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 56 
498894,="11:17:34.634",0xB6035F,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498895,="11:17:34.634",0xB6036D,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 60 
498896,="11:17:34.664",0xB603BD,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 7A 26 F0 19 62 51 
498897,="11:17:34.664",0xB603D7,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 60 
498898,="11:17:34.664",0xB603E7,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498899,="11:17:34.664",0xB603EE,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 53 28 44 
498900,="11:17:34.664",0xB603F4,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 54 28 52 28 
498901,="11:17:34.664",0xB603F9,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 13 44 42 41 41 42 41 EC 
498902,="11:17:34.664",0xB603FF,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498903,="11:17:34.664",0xB60405,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 78 7C 21 0C E6 00 FF 
498904,="11:17:34.664",0xB6040B,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0F 00 00 FF FF FF FF F0 
498905,="11:17:34.664",0xB60410,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 57 
498906,="11:17:34.664",0xB60416,ch1,接收,0x18FF94D7,数据帧,扩展帧,0x08,x| 04 40 06 C0 25 00 00 F0 
498907,="11:17:34.664",0xB60426,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498908,="11:17:34.664",0xB60435,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 32 28 59 33 4B 80 
498909,="11:17:34.664",0xB60485,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 7A 26 EE 19 62 51 
498910,="11:17:34.664",0xB6049F,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 61 
498911,="11:17:34.694",0xB604AF,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498912,="11:17:34.694",0xB604C2,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498913,="11:17:34.694",0xB604D8,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 58 
498914,="11:17:34.694",0xB604EE,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498915,="11:17:34.694",0xB604FD,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 48 0C 48 0C AA 00 00 00 
498916,="11:17:34.694",0xB6054C,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 EE 19 62 51 
498917,="11:17:34.694",0xB60567,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 62 
498918,="11:17:34.694",0xB60576,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498919,="11:17:34.694",0xB60589,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498920,="11:17:34.694",0xB6059F,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 59 
498921,="11:17:34.694",0xB605B6,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498922,="11:17:34.694",0xB605C5,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
498923,="11:17:34.724",0xB605E1,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 31 33 8C 26 E6 00 00 42 
498924,="11:17:34.724",0xB605E6,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 01 0B 0D 0E 0D 0E 0D FE 
498925,="11:17:34.724",0xB605EC,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 01 00 00 00 00 00 00 FE 
498926,="11:17:34.724",0xB605F2,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 10 00 00 FF FF FF FF EF 
498927,="11:17:34.724",0xB60614,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 EA 19 62 51 
498928,="11:17:34.724",0xB6062F,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 63 
498929,="11:17:34.724",0xB6063E,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498930,="11:17:34.724",0xB60651,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498931,="11:17:34.724",0xB60667,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 5A 
498932,="11:17:34.724",0xB6067E,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498933,="11:17:34.724",0xB6068C,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
498934,="11:17:34.724",0xB606DC,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 E8 19 62 51 
498935,="11:17:34.724",0xB606F6,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 64 
498936,="11:17:34.754",0xB60706,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498937,="11:17:34.754",0xB60719,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498938,="11:17:34.754",0xB6072E,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 5B 
498939,="11:17:34.754",0xB60745,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498940,="11:17:34.754",0xB60754,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 65 
498941,="11:17:34.754",0xB607A4,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 E8 19 62 51 
498942,="11:17:34.754",0xB607BE,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 65 
498943,="11:17:34.754",0xB607CE,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498944,="11:17:34.754",0xB607D8,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 53 28 44 
498945,="11:17:34.754",0xB607DE,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 54 28 52 28 
498946,="11:17:34.754",0xB607E3,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498947,="11:17:34.754",0xB607E9,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 80 7C 21 0C E6 00 FF 
498948,="11:17:34.754",0xB607EF,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 11 00 00 FF FF FF FF EE 
498949,="11:17:34.754",0xB607F4,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 19 41 41 41 41 41 42 E6 
498950,="11:17:34.754",0xB607FA,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 5C 
498951,="11:17:34.754",0xB6080D,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498952,="11:17:34.754",0xB6081B,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9C 27 18 28 59 33 4B 80 
498953,="11:17:34.784",0xB6086C,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 E4 19 62 51 
498954,="11:17:34.784",0xB60886,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 66 
498955,="11:17:34.784",0xB60896,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498956,="11:17:34.784",0xB608A8,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498957,="11:17:34.784",0xB608BE,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 5D 
498958,="11:17:34.784",0xB608D5,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498959,="11:17:34.784",0xB608E3,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 48 0C 48 0C AA 00 00 00 
498960,="11:17:34.784",0xB60933,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 E2 19 62 51 
498961,="11:17:34.784",0xB6094E,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 67 
498962,="11:17:34.814",0xB6095D,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498963,="11:17:34.814",0xB60970,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498964,="11:17:34.814",0xB60986,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 5E 
498965,="11:17:34.814",0xB6099D,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498966,="11:17:34.814",0xB609AB,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
498967,="11:17:34.814",0xB609D0,ch1,接收,0x1807E5F4,数据帧,扩展帧,0x08,x| 0D B0 00 C8 01 FF FF FF 
498968,="11:17:34.814",0xB609D6,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 04 11 0D 0B 0D 0E 0D FB 
498969,="11:17:34.814",0xB609DB,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 32 33 94 26 E6 00 00 42 
498970,="11:17:34.814",0xB609E1,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 12 00 00 FF FF FF FF ED 
498971,="11:17:34.814",0xB609E7,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 F8 
498972,="11:17:34.814",0xB609FB,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 84 26 E0 19 62 51 
498973,="11:17:34.814",0xB60A16,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 68 
498974,="11:17:34.814",0xB60A25,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498975,="11:17:34.814",0xB60A38,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498976,="11:17:34.814",0xB60A4D,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 5F 
